T,Z,Y,X,Score,Size,Confidence,Angle
217.0,0.0,260.0314178466797,80.40258026123047,0.9999945163726807,42.0,0.9436513185501099,2.0
218.0,0.0,403.6534538269043,67.71396255493164,1.0,41.0,0.9242193698883057,2.0
218.0,0.0,152.04825592041016,449.2206497192383,0.9999988079071045,42.0,0.9389299154281616,2.0
218.0,0.0,259.90159797668457,79.85805702209473,0.9999985694885254,41.0,0.935655415058136,2.0
221.0,0.0,75.97557067871094,84.15252304077148,1.0,40.0,0.9146569967269897,2.0
221.0,0.0,259.9380626678467,412.16986083984375,0.9999998807907104,41.0,0.9304568767547607,2.0
222.0,0.0,31.97812843322754,276.2646064758301,1.0,42.0,0.9546298980712891,2.0
222.0,0.0,311.8891429901123,75.46183967590332,0.9999985694885254,42.0,0.9446759223937988,2.0
223.0,0.0,312.0866470336914,72.26846313476562,1.0,42.0,0.9568797945976257,2.0
223.0,0.0,31.615039825439453,279.8649387359619,0.9999997615814209,43.0,0.9675281643867493,2.0
223.0,0.0,259.80736541748047,411.99998664855957,0.9999995231628418,42.0,0.951366662979126,2.0
223.0,0.0,260.54681396484375,83.30005836486816,0.9999721050262451,42.0,0.952337384223938,2.0
224.0,0.0,43.94683074951172,87.69375228881836,0.9999310970306396,42.0,0.9534802436828613,2.0
225.0,0.0,64.30540084838867,152.6136360168457,1.0,41.0,0.9335322380065918,2.0
226.0,0.0,195.74786186218262,477.626163482666,1.0,41.0,0.9352519512176514,2.0
227.0,0.0,192.1109161376953,423.62828254699707,1.0,41.0,0.9360783100128174,2.0
228.0,0.0,387.63802337646484,47.4833927154541,1.0,41.0,0.916954755783081,2.0
228.0,0.0,195.6869831085205,472.24109649658203,0.9999915361404419,41.0,0.9305983781814575,2.0
229.0,0.0,43.832387924194336,148.2976303100586,1.0,42.0,0.9536409378051758,2.0
232.0,0.0,44.17461395263672,207.56113243103027,1.0,42.0,0.9492807984352112,2.0
232.0,0.0,95.87752532958984,60.06081008911133,1.0,43.0,0.9639239311218262,2.0
232.0,0.0,260.2237319946289,103.96883392333984,0.9999978542327881,44.0,0.9849420785903931,2.0
232.0,0.0,139.8360538482666,457.15056228637695,0.9999940395355225,42.0,0.9534808397293091,2.0
